               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066532,            0.052344,                   0,          0.00036667,            0.014313,          0.00018738,          3.5416e-05,            0.056321,            0.020861,                   0,            0.070057,            0.003327,            0.003327
                   1,            0.061051,            0.045727,                   0,             0.13931,             0.35131,            0.099711,            0.031169,            0.043668,            0.017356,                   0,            0.037393,           0.0039962,           0.0039962
